kabu_kota,indeks_kedalaman_kemiskinan_p1,indeks_keparahan_kemiskinan_p2,jum_penduduk_miskin,persen_penduduk_miskin,prop,indeks_pembangunan_gender,kabu_kota_lengkap,level_ppkm_sep_21
Barito Kuala,0.81,0.21,14.25,4.51,KALIMANTAN SELATAN,89.04,Kabupaten Barito Kuala,
Tapin,0.45,0.12,5.9,3.06,KALIMANTAN SELATAN,84.08,Kabupaten Tapin,
Hulu Sungai Selatan,0.51,0.09,12.39,5.17,KALIMANTAN SELATAN,89.23,Kabupaten Hulu Sungai Selatan,
Hulu Sungai Tengah,0.43,0.06,15.47,5.64,KALIMANTAN SELATAN,96.5,Kabupaten Hulu Sungai Tengah,
Hulu Sungai Utara,0.85,0.2,14.72,6.14,KALIMANTAN SELATAN,91.52,Kabupaten Hulu Sungai Utara,
Tabalong,0.72,0.21,14.7,5.72,KALIMANTAN SELATAN,85.34,Kabupaten Tabalong,
Tanah Bumbu,0.69,0.14,16.83,4.6,KALIMANTAN SELATAN,84.6,Kabupaten Tanah Bumbu,
Balangan,0.88,0.24,7.06,5.32,KALIMANTAN SELATAN,92.22,Kabupaten Balangan,
Kota Banjarmasin,0.54,0.11,31.31,4.39,KALIMANTAN SELATAN,93.37,Kota Banjarmasin,
Kota Banjar Baru,0.48,0.1,10.75,4.01,KALIMANTAN SELATAN,92.55,Kota Banjar Baru,
Paser,1.04,0.21,26.77,9.23,KALIMANTAN TIMUR,71.15,Kabupaten Paser,
Kutai Barat,1.23,0.28,13.78,9.29,KALIMANTAN TIMUR,83.87,Kabupaten Kutai Barat,
Kutai Kartanegara,0.91,0.16,58.42,7.31,KALIMANTAN TIMUR,78.9,Kabupaten Kutai Kartanegara,
Kutai Timur,2.02,0.63,36.98,9.55,KALIMANTAN TIMUR,76.26,Kabupaten Kutai Timur,
Berau,0.7,0.17,12.3,5.19,KALIMANTAN TIMUR,87.61,Kabupaten Berau,
Penajam Paser Utara,0.87,0.17,11.93,7.36,KALIMANTAN TIMUR,86.39,Kabupaten Penajam Paser Utara,
Mahakam Ulu,1.46,0.29,3.26,11.44,KALIMANTAN TIMUR,80.98,Kabupaten Mahakam Ulu,
Kota Balikpapan,0.38,0.12,17.02,2.57,KALIMANTAN TIMUR,89.65,Kota Balikpapan,
Kota Samarinda,0.72,0.21,41.92,4.76,KALIMANTAN TIMUR,89.27,Kota Samarinda,
Kota Bontang,0.54,0.09,7.91,4.38,KALIMANTAN TIMUR,86.87,Kota Bontang,
Malinau,1.16,0.28,6.16,6.63,KALIMANTAN UTARA,81.36,Kabupaten Malinau,
Bulungan,1.32,0.28,13.08,9.06,KALIMANTAN UTARA,85.1,Kabupaten Bulungan,
Tana Tidung,0.33,0.06,1.46,4.81,KALIMANTAN UTARA,77.57,Kabupaten Tana Tidung,
Nunukan,0.87,0.17,13.76,6.36,KALIMANTAN UTARA,82.29,Kabupaten Nunukan,
Kota Tarakan,0.77,0.15,17.33,6.24,KALIMANTAN UTARA,91.9,Kota Tarakan,
Bolaang Mongondow,0.87,0.15,18.07,7.27,SULAWESI UTARA,88.29,Kabupaten Bolaang Mongondow,
Minahasa,0.82,0.17,24.95,7.3,SULAWESI UTARA,96.53,Kabupaten Minahasa,
Kepulauan Sangihe,1.29,0.25,14.64,11.14,SULAWESI UTARA,95.23,Kabupaten Kepulauan Sangihe,
Kepulauan Talaud,1.26,0.24,8.84,9.49,SULAWESI UTARA,97.9,Kabupaten Kepulauan Talaud,
Minahasa Selatan,1.02,0.2,19.38,9.14,SULAWESI UTARA,88.74,Kabupaten Minahasa Selatan,
Minahasa Utara,0.98,0.19,14.33,7.0,SULAWESI UTARA,96.4,Kabupaten Minahasa Utara,
Bolaang Mongondow Utara,0.83,0.14,6.82,8.41,SULAWESI UTARA,86.77,Kabupaten Bolaang Mongondow Utara,
Siau Tagulandang Biaro,0.83,0.14,5.95,8.94,SULAWESI UTARA,88.4,Kabupaten Siau Tagulandang Biaro,
Minahasa Tenggara,2.27,0.61,13.73,12.3,SULAWESI UTARA,91.88,Kabupaten Minahasa Tenggara,
Bolaang Mongondow Selatan,1.65,0.33,8.53,12.77,SULAWESI UTARA,79.7,Kabupaten Bolaang Mongondow Selatan,
Bolaang Mongondow Timur,0.94,0.2,4.3,5.88,SULAWESI UTARA,90.84,Kabupaten Bolaang Mongondow Timur,
Kota Manado,1.25,0.36,25.55,5.86,SULAWESI UTARA,96.23,Kota Manado,
Kota Bitung,0.86,0.2,14.18,6.41,SULAWESI UTARA,94.19,Kota Bitung,
Kota Tomohon,0.96,0.25,6.06,5.6,SULAWESI UTARA,98.94,Kota Tomohon,
Kota Kotamobagu,0.84,0.16,7.06,5.42,SULAWESI UTARA,95.37,Kota Kotamobagu,
Banggai Kepulauan,1.99,0.47,16.7,14.04,SULAWESI TENGAH,92.36,Kabupaten Banggai Kepulauan,
Banggai,1.05,0.21,28.16,7.39,SULAWESI TENGAH,90.83,Kabupaten Banggai,
Morowali,2.48,0.67,16.5,13.43,SULAWESI TENGAH,84.89,Kabupaten Morowali,
Poso,2.53,0.68,40.2,15.45,SULAWESI TENGAH,96.54,Kabupaten Poso,
Donggala,3.01,0.79,53.17,17.39,SULAWESI TENGAH,88.34,Kabupaten Donggala,
Toli-Toli,2.33,0.63,30.51,12.85,SULAWESI TENGAH,89.73,Kabupaten Toli-Toli,
Buol,1.97,0.47,22.93,13.93,SULAWESI TENGAH,89.25,Kabupaten Buol,
Parigi Moutong,3.49,1.22,78.76,15.85,SULAWESI TENGAH,92.29,Kabupaten Parigi Moutong,
Tojo Una-Una,3.27,1.03,25.43,16.39,SULAWESI TENGAH,91.22,Kabupaten Tojo Una-Una,
Sigi,1.96,0.49,30.0,12.45,SULAWESI TENGAH,93.26,Kabupaten Sigi,
Banggai Laut,1.59,0.36,11.09,14.6,SULAWESI TENGAH,91.31,Kabupaten Banggai Laut,
Morowali Utara,2.95,1.02,18.38,14.1,SULAWESI TENGAH,95.98,Kabupaten Morowali Utara,
Kota Palu,0.97,0.22,26.89,6.8,SULAWESI TENGAH,97.96,Kota Palu,
Kepulauan Selayar,2.25,0.6,17.04,12.48,SULAWESI SELATAN,91.63,Kabupaten Kepulauan Selayar,
Bulukumba,0.71,0.14,30.0,7.1,SULAWESI SELATAN,96.29,Kabupaten Bulukumba,
Bantaeng,0.97,0.18,16.84,8.95,SULAWESI SELATAN,95.78,Kabupaten Bantaeng,
Jeneponto,2.6,0.68,53.24,14.58,SULAWESI SELATAN,91.46,Kabupaten Jeneponto,
Takalar,1.09,0.21,25.38,8.44,SULAWESI SELATAN,87.56,Kabupaten Takalar,
Gowa,1.18,0.3,57.68,7.38,SULAWESI SELATAN,87.17,Kabupaten Gowa,
Sinjai,1.34,0.36,22.06,9.0,SULAWESI SELATAN,98.02,Kabupaten Sinjai,
Maros,1.45,0.34,34.62,9.74,SULAWESI SELATAN,89.23,Kabupaten Maros,
Pangkajene dan Kepulauan,2.52,0.71,47.12,13.96,SULAWESI SELATAN,89.85,Kabupaten Pangkajene dan Kepulauan,
Barru,1.31,0.36,14.44,8.26,SULAWESI SELATAN,95.52,Kabupaten Barru,
Bone,1.59,0.36,81.33,10.68,SULAWESI SELATAN,92.89,Kabupaten Bone,
Soppeng,0.83,0.16,17.23,7.59,SULAWESI SELATAN,97.26,Kabupaten Soppeng,
Wajo,0.98,0.21,27.69,6.95,SULAWESI SELATAN,90.25,Kabupaten Wajo,
Sidenreng Rappang,0.82,0.19,15.36,5.05,SULAWESI SELATAN,92.06,Kabupaten Sidenreng Rappang,
Pinrang,1.27,0.34,33.56,8.86,SULAWESI SELATAN,95.16,Kabupaten Pinrang,
Enrekang,1.61,0.34,25.25,12.17,SULAWESI SELATAN,97.41,Kabupaten Enrekang,
Luwu,2.12,0.49,46.04,12.65,SULAWESI SELATAN,92.16,Kabupaten Luwu,
Tana Toraja,2.32,0.74,28.41,12.1,SULAWESI SELATAN,87.97,Kabupaten Tana Toraja,
Luwu Utara,2.29,0.61,42.2,13.41,SULAWESI SELATAN,89.2,Kabupaten Luwu Utara,
Luwu Timur,1.05,0.24,20.82,6.85,SULAWESI SELATAN,89.71,Kabupaten Luwu Timur,
Toraja Utara,1.75,0.37,27.88,12.01,SULAWESI SELATAN,86.83,Kabupaten Toraja Utara,
Kota Makassar,0.58,0.12,69.98,4.54,SULAWESI SELATAN,94.47,Kota Makassar,
Kota Parepare,0.94,0.24,7.96,5.44,SULAWESI SELATAN,96.88,Kota Parepare,
Kota Palopo,0.95,0.21,14.71,7.85,SULAWESI SELATAN,97.32,Kota Palopo,
Buton,1.94,0.41,13.68,13.21,SULAWESI TENGGARA,80.18,Kabupaten Buton,
Muna,1.86,0.46,28.73,12.83,SULAWESI TENGGARA,87.59,Kabupaten Muna,
Konawe,1.71,0.35,31.63,12.2,SULAWESI TENGGARA,92.65,Kabupaten Konawe,
Kolaka,1.99,0.55,23.76,11.63,SULAWESI TENGGARA,89.78,Kabupaten Kolaka,
Konawe Selatan,1.77,0.41,34.22,10.74,SULAWESI TENGGARA,87.73,Kabupaten Konawe Selatan,
Bombana,1.35,0.32,18.84,10.01,SULAWESI TENGGARA,84.67,Kabupaten Bombana,
Wakatobi,2.73,0.73,13.75,14.31,SULAWESI TENGGARA,88.39,Kabupaten Wakatobi,
Kolaka Utara,2.28,0.64,19.83,12.96,SULAWESI TENGGARA,97.24,Kabupaten Kolaka Utara,
Buton Utara,2.34,0.61,9.13,14.1,SULAWESI TENGGARA,92.02,Kabupaten Buton Utara,
Konawe Utara,2.92,0.86,8.78,13.53,SULAWESI TENGGARA,86.17,Kabupaten Konawe Utara,
Kolaka Timur,2.18,0.53,26.38,13.47,SULAWESI TENGGARA,98.37,Kabupaten Kolaka Timur,
Konawe Kepulauan,2.56,0.6,5.88,17.01,SULAWESI TENGGARA,85.0,Kabupaten Konawe Kepulauan,
Muna Barat,1.98,0.39,11.32,13.3,SULAWESI TENGGARA,88.65,Kabupaten Muna Barat,
Buton Tengah,1.91,0.38,14.4,15.32,SULAWESI TENGGARA,80.57,Kabupaten Buton Tengah,
Buton Selatan,1.82,0.42,11.5,14.11,SULAWESI TENGGARA,72.25,Kabupaten Buton Selatan,
Kota Kendari,0.67,0.16,17.46,4.34,SULAWESI TENGGARA,94.61,Kota Kendari,
Kota Baubau,1.05,0.2,12.53,7.15,SULAWESI TENGGARA,90.27,Kota Baubau,
Boalemo,2.79,0.67,31.63,18.57,GORONTALO,81.15,Kabupaten Boalemo,
Gorontalo,3.95,1.17,66.73,17.56,GORONTALO,81.67,Kabupaten Gorontalo,
Pohuwato,2.64,0.54,28.92,17.62,GORONTALO,91.36,Kabupaten Pohuwato,
Bone Bolango,2.99,0.77,25.72,15.81,GORONTALO,87.54,Kabupaten Bone Bolango,
Gorontalo Utara,2.09,0.44,19.56,16.88,GORONTALO,81.16,Kabupaten Gorontalo Utara,
Kota Gorontalo,0.61,0.1,12.46,5.59,GORONTALO,86.23,Kota Gorontalo,
Majene,2.21,0.53,24.12,13.73,SULAWESI BARAT,94.09,Kabupaten Majene,
Polewali Mandar,2.74,0.79,68.18,15.26,SULAWESI BARAT,91.56,Kabupaten Polewali Mandar,
Mamasa,1.71,0.31,21.86,13.38,SULAWESI BARAT,97.79,Kabupaten Mamasa,
Mamuju,1.06,0.24,20.65,6.92,SULAWESI BARAT,90.57,Kabupaten Mamuju,
Mamuju Utara,0.36,0.04,7.95,4.48,SULAWESI BARAT,84.92,Kabupaten Mamuju Utara,
Mamuju Tengah,0.88,0.18,9.25,6.79,SULAWESI BARAT,86.34,Kabupaten Mamuju Tengah,
Maluku Tenggara Barat,5.9,1.64,30.74,27.11,MALUKU,86.44,Kabupaten Maluku Tenggara Barat,
Maluku Tenggara,4.26,1.02,22.59,22.57,MALUKU,96.63,Kabupaten Maluku Tenggara,
Maluku Tengah,4.05,1.28,74.18,19.83,MALUKU,98.38,Kabupaten Maluku Tengah,
Buru,2.91,0.89,24.42,16.64,MALUKU,90.22,Kabupaten Buru,
Kepulauan Aru,4.47,1.14,25.45,26.26,MALUKU,88.19,Kabupaten Kepulauan Aru,
Seram Bagian Barat,4.46,1.23,43.15,25.11,MALUKU,98.44,Kabupaten Seram Bagian Barat,
Seram Bagian Timur,4.44,1.22,26.69,23.04,MALUKU,87.67,Kabupaten Seram Bagian Timur,
Maluku Barat Daya,5.46,1.49,21.37,29.15,MALUKU,90.08,Kabupaten Maluku Barat Daya,
Buru Selatan,2.14,0.46,10.07,15.75,MALUKU,86.39,Kabupaten Buru Selatan,
Kota Ambon,0.41,0.06,22.15,4.51,MALUKU,97.78,Kota Ambon,
Kota Tual,3.67,0.83,17.36,22.51,MALUKU,88.11,Kota Tual,
Halmahera Barat,0.86,0.13,10.56,8.82,MALUKU UTARA,88.3,Kabupaten Halmahera Barat,
Halmahera Tengah,1.73,0.39,7.7,13.56,MALUKU UTARA,89.53,Kabupaten Halmahera Tengah,
Kepulauan Sula,0.88,0.16,8.81,8.35,MALUKU UTARA,91.97,Kabupaten Kepulauan Sula,
Halmahera Selatan,0.45,0.08,12.41,5.21,MALUKU UTARA,86.49,Kabupaten Halmahera Selatan,
Halmahera Utara,0.38,0.09,8.75,4.45,MALUKU UTARA,89.44,Kabupaten Halmahera Utara,
Halmahera Timur,1.9,0.35,14.97,15.45,MALUKU UTARA,81.43,Kabupaten Halmahera Timur,
Pulau Morotai,1.05,0.37,4.43,6.46,MALUKU UTARA,69.75,Kabupaten Pulau Morotai,
Pulau Taliabu,0.89,0.16,3.89,7.3,MALUKU UTARA,83.29,Kabupaten Pulau Taliabu,
Kota Ternate,0.38,0.1,8.18,3.46,MALUKU UTARA,91.83,Kota Ternate,
Kota Tidore Kepulauan,0.6,0.11,6.66,6.52,MALUKU UTARA,95.47,Kota Tidore Kepulauan,
Fakfak,5.87,1.95,17.72,22.27,PAPUA BARAT,82.95,Kabupaten Fakfak,
Kaimana,2.36,0.59,9.52,15.5,PAPUA BARAT,83.02,Kabupaten Kaimana,
Teluk Wondama,10.04,4.19,10.22,30.91,PAPUA BARAT,79.28,Kabupaten Teluk Wondama,
Teluk Bintuni,8.31,3.15,19.22,29.39,PAPUA BARAT,86.17,Kabupaten Teluk Bintuni,
Manokwari,5.87,2.24,35.92,20.14,PAPUA BARAT,83.69,Kabupaten Manokwari,
Sorong Selatan,3.12,0.82,8.71,18.28,PAPUA BARAT,81.99,Kabupaten Sorong Selatan,
Sorong,5.97,1.78,24.89,27.48,PAPUA BARAT,85.95,Kabupaten Sorong,
Raja Ampat,3.06,0.81,8.32,17.01,PAPUA BARAT,77.64,Kabupaten Raja Ampat,
Tambrauw,8.99,3.23,4.59,32.8,PAPUA BARAT,68.14,Kabupaten Tambrauw,
Maybrat,8.01,2.64,12.8,30.78,PAPUA BARAT,77.31,Kabupaten Maybrat,
Manokwari Selatan,8.61,3.55,7.09,28.88,PAPUA BARAT,63.88,Kabupaten Manokwari Selatan,
Pegunungan Arfak,5.53,1.25,10.68,33.81,PAPUA BARAT,76.94,Kabupaten Pegunungan Arfak,
Kota Sorong,2.81,0.84,38.91,14.99,PAPUA BARAT,91.62,Kota Sorong,
Merauke,1.53,0.37,22.89,10.03,PAPUA,87.84,Kabupaten Merauke,
Jayawijaya,12.54,5.16,81.71,37.22,PAPUA,83.5,Kabupaten Jayawijaya,
Jayapura,2.04,0.53,16.61,12.44,PAPUA,90.92,Kabupaten Jayapura,
Nabire,9.26,4.73,36.75,24.15,PAPUA,90.37,Kabupaten Nabire,
Kepulauan Yapen,6.63,2.24,27.04,26.3,PAPUA,89.0,Kabupaten Kepulauan Yapen,
Biak Numfor,6.33,2.43,38.02,24.57,PAPUA,90.15,Kabupaten Biak Numfor,
Paniai,6.23,1.45,65.98,36.71,PAPUA,67.88,Kabupaten Paniai,
Puncak Jaya,13.41,6.99,46.07,34.74,PAPUA,65.2,Kabupaten Puncak Jaya,
Mimika,3.59,1.16,31.75,14.26,PAPUA,77.03,Kabupaten Mimika,
Boven Digoel,3.54,0.91,13.86,19.41,PAPUA,79.18,Kabupaten Boven Digoel,
Mappi,4.99,1.46,26.91,25.04,PAPUA,83.48,Kabupaten Mappi,
Asmat,3.54,0.75,25.12,25.49,PAPUA,53.59,Kabupaten Asmat,
Yahukimo,7.41,1.93,71.76,37.34,PAPUA,72.28,Kabupaten Yahukimo,
Pegunungan Bintang,4.91,1.1,23.03,30.15,PAPUA,80.01,Kabupaten Pegunungan Bintang,
Tolikara,6.7,1.8,44.88,32.04,PAPUA,59.58,Kabupaten Tolikara,
Sarmi,1.56,0.29,5.7,13.87,PAPUA,82.35,Kabupaten Sarmi,
Keerom,2.79,0.7,9.42,16.32,PAPUA,86.23,Kabupaten Keerom,
Waropen,9.9,4.12,9.44,29.54,PAPUA,70.13,Kabupaten Waropen,
Supiori,10.52,3.8,7.78,36.91,PAPUA,76.38,Kabupaten Supiori,
Mamberamo Raya,4.12,1.01,6.98,28.38,PAPUA,81.56,Kabupaten Mamberamo Raya,
Nduga,7.57,2.25,36.54,36.72,PAPUA,84.09,Kabupaten Nduga,
Lanny Jaya,13.87,6.51,68.62,38.13,PAPUA,92.4,Kabupaten Lanny Jaya,
Mamberamo Tengah,9.11,2.84,17.72,36.41,PAPUA,86.79,Kabupaten Mamberamo Tengah,
Yalimo,11.47,4.86,20.84,32.82,PAPUA,82.6,Kabupaten Yalimo,
Puncak,8.61,2.63,42.43,36.96,PAPUA,82.17,Kabupaten Puncak,
Dogiyai,5.55,1.86,28.31,28.62,PAPUA,80.82,Kabupaten Dogiyai,
Intan Jaya,8.0,2.17,20.46,40.71,PAPUA,70.4,Kabupaten Intan Jaya,
Deiyai,11.44,3.9,30.98,41.76,PAPUA,70.17,Kabupaten Deiyai,
Kota Jayapura,1.98,0.55,33.8,11.16,PAPUA,94.35,Kota Jayapura,
Mempawah,,,,,KALIMANTAN BARAT,87.92,Kabupaten Mempawah,
